DEPTH,DEPT,CALI,COND,DENS,GR,NPHI,RES,SONIC,One-way time,Input interval velocity,Output interval velocity,Drift,RC,AI,Resampled AI,Input interval velocity,Output interval velocity,Calibrated sonic log,Residual drift log
994,994,-999.25,-999.25,2.128692848,16.8593998,0.547999978,-999.25,114.1473707,-33.21599579,2392037,2291421.5,0,-999.25,3.33E+16,-999.25,2291421.5,100000,3.047999859,-18.09280968
994.5,994.5,-999.25,-999.25,2.145202364,17.28129959,0.525600016,-999.25,121.5,-33.21099472,2392268,2291421.5,0,-999.25,6768.567383,-999.25,2291421.5,100000,3.047999859,-18.10237312
995,995,-999.25,-999.25,2.16171188,16.625,0.523500025,-999.25,114.1961449,-33.20599365,2392499,2291421.5,0,-999.25,5.42E+16,-999.25,2291421.5,100000,3.047999859,-18.11193657
995.5,995.5,-999.25,-999.25,2.178221396,17.625,0.4921,-999.25,115.5540291,-33.2009964,2392730.25,2291421.5,0,-999.25,5.62E+16,-999.25,2291421.5,100000,3.047999859,-18.12150192
996,996,-999.25,-999.25,2.194730912,15.47659969,0.50819999,-999.25,116.9119132,-33.19599533,2392961.25,2291421.5,0,-999.25,5.47E+16,-999.25,2291421.5,100000,3.047999859,-18.13106537
996.5,996.5,-999.25,-999.25,2.211240428,17.2031002,0.523699999,-999.25,118.2697973,-33.19099426,2393192.5,2291421.5,0,-999.25,4.55E+16,-999.25,2291421.5,100000,3.047999859,-18.14062881
997,997,-999.25,-999.25,2.227749944,16.0625,0.556400001,-999.25,119.6276814,-33.18599319,2393423.5,2291421.5,0,-999.25,3.03E+16,-999.25,2291421.5,100000,3.047999859,-18.15019226
997.5,997.5,-999.25,-999.25,2.24425946,17.0625,0.57099998,-999.25,120.9855656,-33.18099213,2393654.75,2291421.5,0,-999.25,2.77E+16,-999.25,2291421.5,100000,3.047999859,-18.15975571
998,998,-999.25,-999.25,2.260768976,15.8671999,0.561100006,-999.25,122.3434497,-33.17599487,2393885.75,2291421.5,0,-999.25,2.45E+16,-999.25,2291421.5,100000,3.047999859,-18.16932106
998.5,998.5,-999.25,-999.25,2.153199911,15.3046999,0.539300025,-999.25,96.40010071,-33.1709938,2394117,2291421.5,0,-999.25,6808.035645,-999.25,2291421.5,100000,3.047999859,-18.17888451
999,999,-999.25,-999.25,1.903900027,16.2968998,0.570800006,-999.25,136.3000031,-33.16599274,2394348,2291421.5,0,-999.25,4257.583984,-999.25,2291421.5,100000,3.047999859,-18.18844604
999.5,999.5,-999.25,-999.25,1.843000054,15.1718998,0.59859997,-999.25,125.1513411,-33.16099167,2394579.25,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-18.19800949
1000,1000,-999.25,-999.25,1.812700033,14.03909969,0.64230001,-999.25,126.4712183,-33.15599442,2394810.25,2291421.5,0,-999.25,6.99E+15,-999.25,2291421.5,100000,3.047999859,-18.20757294
1000.5,1000.5,-999.25,-999.25,1.842399955,14.89840031,0.627200007,-999.25,127.7910956,-33.15099335,2395041.5,2291421.5,0,-999.25,7.59E+15,-999.25,2291421.5,100000,3.047999859,-18.21713638
1001,1001,-999.25,-999.25,1.945899963,14.89840031,0.539300025,-999.25,129.1109728,-33.14599228,2395272.5,2291421.5,0,-999.25,9.97E+15,-999.25,2291421.5,100000,3.047999859,-18.22669983
1001.5,1001.5,-999.25,-999.25,2.028700113,16.8906002,0.537100017,-999.25,130.4308501,-33.14099503,2395503.5,2291421.5,0,-999.25,1.23E+16,-999.25,2291421.5,100000,3.047999859,-18.23626328
1002,1002,-999.25,-999.25,2.341200113,18.0156002,0.503600001,-999.25,131.7507274,-33.13599396,2395734.75,2291421.5,0,-999.25,2.51E+16,-999.25,2291421.5,100000,3.047999859,-18.24582672
1002.5,1002.5,-999.25,-999.25,2.180399895,21,0.515200019,-999.25,133.0706046,-33.13099289,2395965.75,2291421.5,0,-999.25,1.76E+16,-999.25,2291421.5,100000,3.047999859,-18.25539207
1003,1003,15.71870041,-999.25,1.988199949,21.9843998,0.494599998,-999.25,134.3904819,-33.12599182,2396197,2291421.5,0,-999.25,1.11E+16,-999.25,2291421.5,100000,3.047999859,-18.26495552
1003.5,1003.5,15.7656002,-999.25,1.926100016,23.8281002,0.512000024,-999.25,135.7103591,-33.12099457,2396428,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-18.27451897
1004,1004,15.96090031,-999.25,1.934200048,21.6875,0.543299973,-999.25,137.0302364,-33.1159935,2396659.25,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-18.28408241
1004.5,1004.5,-999.25,372.2849121,1.927899957,21.4843998,0.540700018,-999.25,133.199997,-33.11099243,2396890.25,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-18.29364586
1005,1005,-999.25,563.4915772,1.915899992,20.0625,0.516200006,-999.25,117.9000015,-33.10599518,2397121.5,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-18.3032093
1005.5,1005.5,-999.25,508.2600098,1.902999997,21.2031002,0.531300008,-999.25,133.3999939,-33.10099411,2397352.5,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-18.31277275
1006,1006,-999.25,433.5541077,1.824900031,23.4531002,0.53460002,-999.25,132.92476,-33.09599304,2397583.75,2291421.5,0,-999.25,7.23E+15,-999.25,2291421.5,100000,3.047999859,-18.3223362
1006.5,1006.5,-999.25,282.9955139,1.824599981,24.8906002,0.528500021,-999.25,133.2831556,-33.09099579,2397814.75,2291421.5,0,-999.25,7.23E+15,-999.25,2291421.5,100000,3.047999859,-18.33189964
1007,1007,-999.25,189.6439972,1.969300032,28,0.514599979,-999.25,133.6415513,-33.08599472,2398045.75,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-18.34146309
